RegionCode,Region/CityName,CountryName,CountryCode,ProductID,ProductName,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
R015,Algeria,North Centre,AL,12982,Possession of Cooker,% of hh,,,,,,,,,63,,,,,,,,,,,,
R015,Algeria,North Centre,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,31,,,,,,,,,,,,
R015,Algeria,North Centre,AL,2494,Possession of Air Conditioner,% of hh,,,,,,,,,14,,,,,,,,,,,,
R015,Algeria,North Centre,AL,2511,Possession of Telephone,% of hh,,,,,,,,,23,,,,,,,,,,,,
R015,Algeria,North Centre,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,73,,,,,,,,,,,,
R015,Algeria,North Centre,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,15,,,,,,,,,,,,
R015,Algeria,North Centre,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,4,,,,,,,,,,,,
R017,Algeria,North West,AL,2505,Possession of Passenger Car,% of hh,,,,,,,,,23,,,,,,,,,,,,
R017,Algeria,North West,AL,2499,Possession of Colour TV Set,% of hh,,,,,,,,,96,,,,,,,,,,,,
R017,Algeria,North West,AL,2508,Possession of Refrigerator,% of hh,,,,,,,,,90,,,,,,,,,,,,
R017,Algeria,North West,AL,12982,Possession of Cooker,% of hh,,,,,,,,,65,,,,,,,,,,,,
R017,Algeria,North West,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,24,,,,,,,,,,,,
R017,Algeria,North West,AL,2494,Possession of Air Conditioner,% of hh,,,,,,,,,6,,,,,,,,,,,,
R017,Algeria,North West,AL,2511,Possession of Telephone,% of hh,,,,,,,,,28,,,,,,,,,,,,
R017,Algeria,North West,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,78,,,,,,,,,,,,
R017,Algeria,North West,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,9,,,,,,,,,,,,
R017,Algeria,North West,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,3,,,,,,,,,,,,
R018,Algeria,South East,AL,2505,Possession of Passenger Car,% of hh,,,,,,,,,21,,,,,,,,,,,,
R018,Algeria,South East,AL,2499,Possession of Colour TV Set,% of hh,,,,,,,,,91,,,,,,,,,,,,
R018,Algeria,South East,AL,2508,Possession of Refrigerator,% of hh,,,,,,,,,88,,,,,,,,,,,,
R018,Algeria,South East,AL,12982,Possession of Cooker,% of hh,,,,,,,,,59,,,,,,,,,,,,
R018,Algeria,South East,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,35,,,,,,,,,,,,
R018,Algeria,South East,AL,2494,Possession of Air Conditioner,% of hh,,,,,,,,,40,,,,,,,,,,,,
R018,Algeria,South East,AL,2511,Possession of Telephone,% of hh,,,,,,,,,22,,,,,,,,,,,,
R018,Algeria,South East,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,75,,,,,,,,,,,,
R018,Algeria,South East,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,13,,,,,,,,,,,,
R018,Algeria,South East,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,3,,,,,,,,,,,,
R019,Algeria,South West,AL,2505,Possession of Passenger Car,% of hh,,,,,,,,,17,,,,,,,,,,,,
R019,Algeria,South West,AL,2499,Possession of Colour TV Set,% of hh,,,,,,,,,90,,,,,,,,,,,,
R019,Algeria,South West,AL,2508,Possession of Refrigerator,% of hh,,,,,,,,,86,,,,,,,,,,,,
R019,Algeria,South West,AL,12982,Possession of Cooker,% of hh,,,,,,,,,55,,,,,,,,,,,,
R019,Algeria,South West,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,22,,,,,,,,,,,,
R019,Algeria,South West,AL,2494,Possession of Air Conditioner,% of hh,,,,,,,,,51,,,,,,,,,,,,
R019,Algeria,South West,AL,2511,Possession of Telephone,% of hh,,,,,,,,,34,,,,,,,,,,,,
R019,Algeria,South West,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,75,,,,,,,,,,,,
R019,Algeria,South West,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,11,,,,,,,,,,,,
R019,Algeria,South West,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,3,,,,,,,,,,,,
AL01,Algeria,Algiers,AL,2505,Possession of Passenger Car,% of hh,,,,,,,,,36,,,,,,,,,,,,
AL01,Algeria,Algiers,AL,2499,Possession of Colour TV Set,% of hh,,,,,,,,,95,,,,,,,,,,,,
AL01,Algeria,Algiers,AL,2508,Possession of Refrigerator,% of hh,,,,,,,,,91,,,,,,,,,,,,
AL01,Algeria,Algiers,AL,12982,Possession of Cooker,% of hh,,,,,,,,,74,,,,,,,,,,,,
AL01,Algeria,Algiers,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,41,,,,,,,,,,,,
AL01,Algeria,Algiers,AL,2494,Possession of Air Conditioner,% of hh,,,,,,,,,17,,,,,,,,,,,,
AL01,Algeria,Algiers,AL,2511,Possession of Telephone,% of hh,,,,,,,,,25,,,,,,,,,,,,
AL01,Algeria,Algiers,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,80,,,,,,,,,,,,
AL01,Algeria,Algiers,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,20,,,,,,,,,,,,
AL01,Algeria,Algiers,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,6,,,,,,,,,,,,
AL04,Algeria,Annaba,AL,2505,Possession of Passenger Car,% of hh,,,,,,,,,22,,,,,,,,,,,,
AL04,Algeria,Annaba,AL,2499,Possession of Colour TV Set,% of hh,,,,,,,,,97,,,,,,,,,,,,
AL04,Algeria,Annaba,AL,2508,Possession of Refrigerator,% of hh,,,,,,,,,95,,,,,,,,,,,,
AL04,Algeria,Annaba,AL,12982,Possession of Cooker,% of hh,,,,,,,,,78,,,,,,,,,,,,
AL04,Algeria,Annaba,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,37,,,,,,,,,,,,
AL04,Algeria,Annaba,AL,2494,Possession of Air Conditioner,% of hh,,,,,,,,,31,,,,,,,,,,,,
AL04,Algeria,Annaba,AL,2511,Possession of Telephone,% of hh,,,,,,,,,25,,,,,,,,,,,,
AL04,Algeria,Annaba,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,90,,,,,,,,,,,,
AL04,Algeria,Annaba,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,18,,,,,,,,,,,,
AL04,Algeria,Annaba,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,5,,,,,,,,,,,,
AL05,Algeria,Batna,AL,2505,Possession of Passenger Car,% of hh,,,,,,,,,30,,,,,,,,,,,,
AL05,Algeria,Batna,AL,2499,Possession of Colour TV Set,% of hh,,,,,,,,,97,,,,,,,,,,,,
AL05,Algeria,Batna,AL,2508,Possession of Refrigerator,% of hh,,,,,,,,,95,,,,,,,,,,,,
AL05,Algeria,Batna,AL,12982,Possession of Cooker,% of hh,,,,,,,,,68,,,,,,,,,,,,
AL05,Algeria,Batna,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,41,,,,,,,,,,,,
AL05,Algeria,Batna,AL,2494,Possession of Air Conditioner,% of hh,,,,,,,,,13,,,,,,,,,,,,
AL05,Algeria,Batna,AL,2511,Possession of Telephone,% of hh,,,,,,,,,31,,,,,,,,,,,,
AL05,Algeria,Batna,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,87,,,,,,,,,,,,
AL05,Algeria,Batna,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,23,,,,,,,,,,,,
AL05,Algeria,Batna,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,5,,,,,,,,,,,,
AL03,Algeria,Constantine,AL,2505,Possession of Passenger Car,% of hh,,,,,,,,,29,,,,,,,,,,,,
AL03,Algeria,Constantine,AL,2499,Possession of Colour TV Set,% of hh,,,,,,,,,98,,,,,,,,,,,,
AL03,Algeria,Constantine,AL,2508,Possession of Refrigerator,% of hh,,,,,,,,,95,,,,,,,,,,,,
AL03,Algeria,Constantine,AL,12982,Possession of Cooker,% of hh,,,,,,,,,72,,,,,,,,,,,,
AL03,Algeria,Constantine,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,37,,,,,,,,,,,,
AL03,Algeria,Constantine,AL,2494,Possession of Air Conditioner,% of hh,,,,,,,,,22,,,,,,,,,,,,
AL03,Algeria,Constantine,AL,2511,Possession of Telephone,% of hh,,,,,,,,,38,,,,,,,,,,,,
AL03,Algeria,Constantine,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,89,,,,,,,,,,,,
AL03,Algeria,Constantine,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,21,,,,,,,,,,,,
AL03,Algeria,Constantine,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,6,,,,,,,,,,,,
AL02,Algeria,Oran,AL,2505,Possession of Passenger Car,% of hh,,,,,,,,,28,,,,,,,,,,,,
AL02,Algeria,Oran,AL,2499,Possession of Colour TV Set,% of hh,,,,,,,,,98,,,,,,,,,,,,
AL02,Algeria,Oran,AL,2508,Possession of Refrigerator,% of hh,,,,,,,,,93,,,,,,,,,,,,
AL02,Algeria,Oran,AL,12982,Possession of Cooker,% of hh,,,,,,,,,81,,,,,,,,,,,,
AL02,Algeria,Oran,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,37,,,,,,,,,,,,
AL02,Algeria,Oran,AL,2494,Possession of Air Conditioner,% of hh,,,,,,,,,7,,,,,,,,,,,,
AL02,Algeria,Oran,AL,2511,Possession of Telephone,% of hh,,,,,,,,,29,,,,,,,,,,,,
AL02,Algeria,Oran,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,88,,,,,,,,,,,,
AL02,Algeria,Oran,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,14,,,,,,,,,,,,
AL02,Algeria,Oran,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,5,,,,,,,,,,,,
AL06,Algeria,Sétif,AL,2505,Possession of Passenger Car,% of hh,,,,,,,,,31,,,,,,,,,,,,
